States,StateCode,
Alabama,AL,
Alaska,AK,
Arizona,AZ,
Arkansas,AR,
California,CA,
Colorado,CO,
Connecticut,CT,
Delaware,DE,
Florida,FL,
Georgia,GA,
Hawaii,HI,
Idaho,ID,
Illinois,IL,
Indiana,IN,
Iowa,IA,
Kansas,KS,
Kentucky,KY,
Louisiana,LA,
Maine,ME,
Maryland,MD,
Massachusetts,MA,
Michigan,MI,
Minnesota,MN,
Mississippi,MS,
Missouri,MO,
Montana,MT,
Nebraska,NE,
Nevada,NV,
New,-,NH
New,-,NJ
New,-,NM
New,-,NY
North,-,NC
North,-,ND
Ohio,OH,
Oklahoma,OK,
Oregon,OR,
Pennsylvania,PA,
Rhode,-,RI
South,-,SC
South,-,SD
Tennessee,TN,
Texas,TX,
Utah,UT,
Vermont,VT,
Virginia,VA,
Washington,WA,
West,-,WV
Wisconsin,WI,
Wyoming,WY,
